0,human interface,69--84,"Obviously one of the most important features of any computer is the ""human interface."
1,every day computing,9--28,Good for every day computing and web browsing.
-1,mouse command buttons,115--136,while the keyboard itself is alright[comma] the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.
-1,right speaker,29--42,Again[comma] the same problem[comma] the right speaker did not work.
-1,DELL Customer Service,20--41,My problem was with DELL Customer Service.
0,Windows Vista,53--66,Is this partially due to the fact that it is running Windows Vista?
-1,hard drive,117--127,Accordingly[comma] I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.
0,specifications,96--110,I did think it had a camera because that was one of my requirements[comma] but forgot to check in the specifications on this one before I purchased.
-1,setup,138--143,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
-1,Safari internet browser,30--53,The most recent being that my Safari internet browser is freaking out on me[comma] but I have just been using firefox instead.
1,cost,29--33,My last computer[comma] a Toshiba[comma] cost only $400[comma] and worked like a charm for many years.
0,bluray player,18--31,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.
1,touchpad,4--12,The touchpad is very intuitive[comma] so much so that I never want to use buttons to click again!
1,price,51--56,I bought this laptop because of the performance to price ratio.
1,works,28--33,Great Laptop for the price[comma] works well with action pack games.
1,battery,4--11,The battery is really long.
-1,warranty,101--109,I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.
-1,charge,27--33,_ The battery never held a charge longer than one hour and within two months[comma] stopped holding a charge for more than ten minutes.
-1,3G network,23--33,Web access through the 3G network is so slow[comma] it's very frustrating and VERY DISAPPOINTING.
0,system,100--106,everything about a mac is wonderful[comma] it takes a little used to learning and getting used to the new system[comma] but you will learn fast and its all worth it.
1,screen,4--10,The screen is bright and the keyboard is nice;
0,warranty,35--43,_ After that the said it was under warranty.
0,internal hard disk,126--144,Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.
-1,cd drive,37--45,the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.
0,Vista,133--138,When we bought our new HP comouter in Dec. of 2008[comma] we wanted Windows XP[comma] but were told it would cost an extra $159[comma] so we went with Vista.
-1,brand,48--53,but now i have realized its a problem with this brand.
-1,delivery,35--43,The computer was two weeks late in delivery because HP forgot to complete the required import paperwork.
-1,service,23--30,I'm tired of the inept service.
1,affordability,31--44,Great pick for portability and affordability.
-1,delivery service,59--75,After way too many times sending the thing in for repairs (delivery service was slow[comma] and without the laptop I had no access to the internet[comma] and thus no way of tracking it to find out when I might hope to see my computer again)[comma] it finally kicked the bucket after just over 2 years.
1,power,40--45,It has far exceeded my expectations for power[comma] storage[comma] and abilitiy.
-1,included program,8--24,Another included program that is laughable is the chess game.
-1,Vista,62--67,It seems they could have updated XP and done without creating Vista.
-1,charger,30--37,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
0,warranty,12--20,Even out of warranty!
1,runs,83--87,The Macbook is also made better[comma] my computer has never got a virus[comma] and the laptop runs just as fast as the first day I bought it.
-1,DVD burner,4--14,The DVD burner broke after burning 3 DVD'd during that time!
-1,Windows update,215--229,_ We have had numerous problems with Vista[comma] such as Adobe Flash player just quits and has to be uninstalled and then reinsalled[comma] Internet Explore just quits and you lose whatever you were working on[comma] also[comma] the same Windows update has appeared on this computer since we got it and has been updated probably 400 times[comma] the same update.
